要素番号	頂点番号	xx	yy	xy	zz
178	3	-7.465432439903985e-02	1.013705376734001e+01	-1.244239357010941e-01	3.018719832882291e+00
179	0	-1.189398822619667e-01	1.018094121075185e+01	-1.135631040270694e-01	3.018600398546964e+00
179	1	-1.000750423271564e-01	1.016500010463628e+01	-7.076030093333642e-02	3.019477518692737e+00
179	2	-7.465432439903985e-02	1.013705376734001e+01	-1.244239357010941e-01	3.018719832882291e+00
179	3	-6.669212620500176e-02	1.012776377906827e+01	-8.589620813588232e-02	3.018321495858980e+00
180	0	-1.000750423271564e-01	1.016500010463628e+01	-7.076030093333642e-02	3.019477518692737e+00
180	1	-7.974085818737731e-02	1.013932011776440e+01	-3.711417002717210e-02	3.017873777873105e+00
180	2	-6.669212620500176e-02	1.012776377906827e+01	-8.589620813588232e-02	3.018321495858980e+00
180	3	-5.505403437377332e-02	1.011037746024630e+01	-5.363911806483847e-02	3.016597027761756e+00
181	0	-7.974085818737731e-02	1.013932011776440e+01	-3.711417002717210e-02	3.017873777873105e+00
181	1	-5.944067506953843e-02	1.010909119573905e+01	-1.239463564454434e-02	3.014895156200853e+00
181	2	-5.505403437377332e-02	1.011037746024630e+01	-5.363911806483847e-02	3.016597027761756e+00
181	3	-4.231117969909537e-02	1.008812950715681e+01	-2.869928994526902e-02	3.013745498237315e+00
182	0	-5.944067506954909e-02	1.010909119573904e+01	-1.239463564454219e-02	3.014895156200847e+00
182	1	-4.099743263047984e-02	1.007743999549084e+01	3.727871227958238e-03	3.010932768858107e+00
182	2	-4.231117969909448e-02	1.008812950715680e+01	-2.869928994526848e-02	3.013745498237312e+00
182	3	-2.961875368742728e-02	1.006432798695964e+01	-1.110046667513223e-02	3.010412769981664e+00
183	0	-4.099743263049316e-02	1.007743999549083e+01	3.727871227960386e-03	3.010932768858101e+00
183	1	-2.497379805991606e-02	1.004737798701704e+01	1.204057794891598e-02	3.006721256687138e+00
183	2	-2.961875368742195e-02	1.006432798695965e+01	-1.110046667513062e-02	3.010412769981667e+00
183	3	-1.822793093882868e-02	1.004131539340107e+01	-5.528380798312865e-04	3.006926238738673e+00
184	0	-2.497379805991606e-02	1.004737798701704e+01	1.204057794891598e-02	3.006721256687138e+00
184	1	-1.218147113456336e-02	1.002133187318604e+01	1.332547153171856e-02	3.002745120615442e+00
184	2	-1.822793093882868e-02	1.004131539340107e+01	-5.528380798312865e-04	3.006926238738673e+00
184	3	-8.864034027288525e-03	1.002139970002282e+01	3.762071500817267e-03	3.003760699798660e+00
185	0	-1.218147113456336e-02	1.002133187318604e+01	1.332547153171856e-02	3.002745120615442e+00
185	1	-3.383715654541319e-03	1.000214588583096e+01	8.733258531870234e-03	2.999628651052925e+00
185	2	-8.864034027288525e-03	1.002139970002282e+01	3.762071500817267e-03	3.003760699798660e+00
185	3	-2.447413829233192e-03	1.000672833348583e+01	3.178872728710818e-03	3.001284275896980e+00
186	0	-3.383715654541319e-03	1.000214588583096e+01	8.733258531870234e-03	2.999628651052925e+00
186	1	6.806768845635247e-05	9.993411189496502e+00	-1.589280312277137e-05	2.998043777155487e+00
186	2	-2.447413829233192e-03	1.000672833348583e+01	3.178872728710818e-03	3.001284275896980e+00
186	3	2.854037981325774e-05	9.999856474574173e+00	-3.317913545466949e-05	2.999965504486195e+00
187	0	1.819885937055332e-01	9.688273991669821e+00	-7.064151643069240e-04	2.961078775612606e+00
187	1	1.648899614873347e-01	9.703038810273297e+00	-1.065097600050839e-01	2.960378631528189e+00
187	2	2.089409858349933e-01	9.774052333395481e+00	4.469539950779719e-04	2.994897995769142e+00
187	3	1.999858547434110e-01	9.790886689426573e+00	-8.285106119468465e-02	2.997261763250995e+00
188	0	1.648899614873338e-01	9.703038810273293e+00	-1.065097600050839e-01	2.960378631528188e+00
188	1	1.307445006549415e-01	9.762313383645312e+00	-1.958928154229571e-01	2.967917365290076e+00
188	2	1.999858547434172e-01	9.790886689426593e+00	-8.285106119468573e-02	2.997261763251002e+00
188	3	1.716763650250837e-01	9.827811376793887e+00	-1.539406272667453e-01	2.999846322545691e+00
189	0	1.307445006549406e-01	9.762313383645312e+00	-1.958928154229538e-01	2.967917365290075e+00
189	1	8.129216350753588e-02	9.844624240159273e+00	-2.533899884258337e-01	2.977774921100043e+00
189	2	1.716763650250801e-01	9.827811376793873e+00	-1.539406272667443e-01	2.999846322545686e+00
189	3	1.325714760490104e-01	9.881603340074328e+00	-2.057093218777802e-01	3.004252444837002e+00
190	0	8.129216350754298e-02	9.844624240159291e+00	-2.533899884258310e-01	2.977774921100050e+00
190	1	2.690544626503932e-02	9.929195697206730e+00	-2.792974906110058e-01	2.986830343041531e+00
190	2	1.325714760490024e-01	9.881603340074317e+00	-2.057093218777775e-01	3.004252444836996e+00
190	3	9.036016627828491e-02	9.943336259235840e+00	-2.326788242212490e-01	3.010108927654237e+00
191	0	2.690544626503755e-02	9.929195697206730e+00	-2.792974906110064e-01	2.986830343041530e+00
191	1	-1.737600243478710e-02	1.001054309008617e+01	-2.750302906067592e-01	2.997950126295415e+00
191	2	9.036016627829024e-02	9.943336259235853e+00	-2.326788242212527e-01	3.010108927654243e+00
191	3	4.946122713131462e-02	9.998659888248639e+00	-2.368777617908814e-01	3.014436334613986e+00
