要素番号	ガウス点番号	xx	yy	xy	zz
489	0	-2.493401665462044e-05	4.029725370123276e-05	-3.850083451069856e-05	0.000000000000000e+00
489	1	-2.499347888713428e-05	4.035291772932061e-05	-3.814933718843333e-05	0.000000000000000e+00
489	2	-2.506436224568715e-05	4.038673714535704e-05	-3.765662014634325e-05	0.000000000000000e+00
489	3	-2.511379156634921e-05	4.039943062282154e-05	-3.724164048318167e-05	0.000000000000000e+00
489	4	-2.430847831541109e-05	3.907173535094004e-05	-3.911636988156258e-05	0.000000000000000e+00
489	5	-2.437003262087857e-05	3.915472691655402e-05	-3.877590423922955e-05	0.000000000000000e+00
489	6	-2.444255036650648e-05	3.922807196281259e-05	-3.830961617940731e-05	0.000000000000000e+00
489	7	-2.449133003604497e-05	3.927496225744219e-05	-3.792637651454519e-05	0.000000000000000e+00
489	8	-2.332852441991853e-05	3.752538559544998e-05	-3.945825969199147e-05	0.000000000000000e+00
489	9	-2.338854872133384e-05	3.766038829913023e-05	-3.912441371829744e-05	0.000000000000000e+00
489	10	-2.345910475740148e-05	3.780710675285088e-05	-3.867676956163305e-05	0.000000000000000e+00
489	11	-2.350629076835973e-05	3.791467457740826e-05	-3.831631225394691e-05	0.000000000000000e+00
489	12	-2.246884623913174e-05	3.627119396411832e-05	-3.918918592326666e-05	0.000000000000000e+00
489	13	-2.252528446791203e-05	3.644956500220021e-05	-3.885870603969319e-05	0.000000000000000e+00
489	14	-2.259030593652496e-05	3.665339822330476e-05	-3.841770859178492e-05	0.000000000000000e+00
489	15	-2.263352085284529e-05	3.680459352341693e-05	-3.806315620746675e-05	0.000000000000000e+00
490	0	-2.513842931389684e-05	4.040506405387583e-05	-3.700463332562502e-05	0.000000000000000e+00
490	1	-2.518150452639673e-05	4.039625616786223e-05	-3.653620308198275e-05	0.000000000000000e+00
490	2	-2.523507415919493e-05	4.035636142814988e-05	-3.586262447149795e-05	0.000000000000000e+00
490	3	-2.527740430364296e-05	4.031689619023379e-05	-3.528232021661077e-05	0.000000000000000e+00
