1	10	10
21	21	2	2
 1.4577e+00	 4.4806e-01	-5.3676e-05	 2.8221e-05	 6.0643e-05
 1.4179e+00	 5.6134e-01	-5.0050e-05	 3.6181e-05	 6.1758e-05
 1.3685e+00	 6.7293e-01	-4.5727e-05	 4.4625e-05	 6.3894e-05
 1.3095e+00	 7.8162e-01	-4.0832e-05	 5.3598e-05	 6.7380e-05
 1.2411e+00	 8.8619e-01	-3.5641e-05	 6.3020e-05	 7.2400e-05
 1.1638e+00	 9.8546e-01	-3.0458e-05	 7.2673e-05	 7.8797e-05
 1.0783e+00	 1.0783e+00	-2.5436e-05	 8.2320e-05	 8.6160e-05
 9.8546e-01	 1.1638e+00	-2.0632e-05	 9.1851e-05	 9.4140e-05
 8.8619e-01	 1.2411e+00	-1.6190e-05	 1.0114e-04	 1.0243e-04
 7.8162e-01	 1.3095e+00	-1.2315e-05	 1.0995e-04	 1.1064e-04
 6.7293e-01	 1.3685e+00	-9.0930e-06	 1.1796e-04	 1.1831e-04
 5.6134e-01	 1.4179e+00	-6.4904e-06	 1.2491e-04	 1.2508e-04
 4.4806e-01	 1.4577e+00	-4.4484e-06	 1.3067e-04	 1.3075e-04
 3.3425e-01	 1.4879e+00	-2.9180e-06	 1.3514e-04	 1.3517e-04
 2.2100e-01	 1.5089e+00	-1.7937e-06	 1.3827e-04	 1.3828e-04
 1.0930e-01	 1.5211e+00	-8.8321e-07	 1.4011e-04	 1.4011e-04
 0.0000e+00	 1.5250e+00	 0.0000e+00	 1.4080e-04	 1.4080e-04
 1.6000e+00	 0.0000e+00	-6.1062e-05	 0.0000e+00	 6.1062e-05
 1.5959e+00	 1.1467e-01	-6.0599e-05	 6.6526e-06	 6.0963e-05
 1.5831e+00	 2.3187e-01	-5.9346e-05	 1.3558e-05	 6.0875e-05
 1.5611e+00	 3.5069e-01	-5.7263e-05	 2.0770e-05	 6.0913e-05
 1.5294e+00	 4.7010e-01	-5.4375e-05	 2.8352e-05	 6.1323e-05
 1.4877e+00	 5.8895e-01	-5.0734e-05	 3.6337e-05	 6.2404e-05
 1.4358e+00	 7.0603e-01	-4.6384e-05	 4.4775e-05	 6.4469e-05
 1.3739e+00	 8.2006e-01	-4.1424e-05	 5.3743e-05	 6.7855e-05
 1.3021e+00	 9.2977e-01	-3.6167e-05	 6.3178e-05	 7.2798e-05
 1.2211e+00	 1.0339e+00	-3.0923e-05	 7.2890e-05	 7.9178e-05
 1.1314e+00	 1.1314e+00	-2.5806e-05	 8.2660e-05	 8.6595e-05
 1.0339e+00	 1.2211e+00	-2.0885e-05	 9.2303e-05	 9.4637e-05
 9.2977e-01	 1.3021e+00	-1.6375e-05	 1.0166e-04	 1.0297e-04
 8.2006e-01	 1.3739e+00	-1.2480e-05	 1.1053e-04	 1.1123e-04
 7.0603e-01	 1.4358e+00	-9.2564e-06	 1.1859e-04	 1.1895e-04
 5.8895e-01	 1.4877e+00	-6.6468e-06	 1.2556e-04	 1.2573e-04
 4.7010e-01	 1.5294e+00	-4.5831e-06	 1.3131e-04	 1.3139e-04
 3.5069e-01	 1.5611e+00	-3.0158e-06	 1.3576e-04	 1.3579e-04
 2.3187e-01	 1.5831e+00	-1.8517e-06	 1.3887e-04	 1.3888e-04
 1.1467e-01	 1.5959e+00	-9.0660e-07	 1.4071e-04	 1.4071e-04
 0.0000e+00	 1.6000e+00	 0.0000e+00	 1.4144e-04	 1.4144e-04
 1.6750e+00	 0.0000e+00	-6.1845e-05	 0.0000e+00	 6.1845e-05
 1.6707e+00	 1.2005e-01	-6.1383e-05	 6.6872e-06	 6.1746e-05
 1.6573e+00	 2.4274e-01	-6.0111e-05	 1.3641e-05	 6.1639e-05
 1.6343e+00	 3.6713e-01	-5.7989e-05	 2.0920e-05	 6.1648e-05
 1.6011e+00	 4.9213e-01	-5.5057e-05	 2.8580e-05	 6.2033e-05
 1.5574e+00	 6.1656e-01	-5.1387e-05	 3.6635e-05	 6.3109e-05
 1.5031e+00	 7.3912e-01	-4.7019e-05	 4.5127e-05	 6.5171e-05
 1.4383e+00	 8.5850e-01	-4.2021e-05	 5.4121e-05	 6.8519e-05
 1.3632e+00	 9.7336e-01	-3.6729e-05	 6.3568e-05	 7.3416e-05
 1.2783e+00	 1.0824e+00	-3.1454e-05	 7.3325e-05	 7.9786e-05
 1.1844e+00	 1.1844e+00	-2.6266e-05	 8.3189e-05	 8.7237e-05
 1.0824e+00	 1.2783e+00	-2.1262e-05	 9.2926e-05	 9.5327e-05
 9.7336e-01	 1.3632e+00	-1.6708e-05	 1.0232e-04	 1.0367e-04
