e	gp_n	xx	yy	xy	zz
256	14	-1.689269271124551e-05	4.326095623831774e-05	-4.570993367895249e-07	0.000000000000000e+00
256	15	-1.692909948831938e-05	4.327862469132613e-05	-5.193112104530286e-07	0.000000000000000e+00
257	0	-1.727454974741708e-05	4.335603055542680e-05	-8.922549685030410e-07	0.000000000000000e+00
257	1	-1.731334069114068e-05	4.338046673845466e-05	-9.834239475829013e-07	0.000000000000000e+00
257	2	-1.736899276653147e-05	4.341533430550859e-05	-1.091218813794287e-06	0.000000000000000e+00
257	3	-1.741551061520330e-05	4.344403917764191e-05	-1.165482446369201e-06	0.000000000000000e+00
257	4	-1.718630728455442e-05	4.334318759222015e-05	-7.949351204023662e-07	0.000000000000000e+00
257	5	-1.722570598329236e-05	4.336596988734002e-05	-8.764360342617449e-07	0.000000000000000e+00
257	6	-1.728235205390970e-05	4.339871736126219e-05	-9.728571539213727e-07	0.000000000000000e+00
257	7	-1.732978583795664e-05	4.342584031847996e-05	-1.039313098675036e-06	0.000000000000000e+00
257	8	-1.705873566080880e-05	4.331670475380745e-05	-6.605976664896677e-07	0.000000000000000e+00
257	9	-1.709984714929422e-05	4.333813351476235e-05	-7.283821576764249e-07	0.000000000000000e+00
257	10	-1.715897063756036e-05	4.336909400351314e-05	-8.085628404912442e-07	0.000000000000000e+00
257	11	-1.720848925317748e-05	4.339485985924952e-05	-8.638617804719785e-07	0.000000000000000e+00
257	12	-1.695049032890513e-05	4.328895230438484e-05	-5.512908469732463e-07	0.000000000000000e+00
257	13	-1.699362874083794e-05	4.330996012738972e-05	-6.077611360783765e-07	0.000000000000000e+00
257	14	-1.705564273792264e-05	4.334030144849985e-05	-6.744672678506358e-07	0.000000000000000e+00
257	15	-1.710756527683054e-05	4.336556892497184e-05	-7.204992231358790e-07	0.000000000000000e+00
258	0	-1.744161647784271e-05	4.345994482970839e-05	-1.202102792457495e-06	0.000000000000000e+00
258	1	-1.749212466316372e-05	4.349078565981762e-05	-1.264411710960903e-06	0.000000000000000e+00
258	2	-1.756081063038163e-05	4.353266655921274e-05	-1.333056628547867e-06	0.000000000000000e+00
258	3	-1.761559082607294e-05	4.356575062243357e-05	-1.376075453690119e-06	0.000000000000000e+00
258	4	-1.735643420618085e-05	4.344092235412131e-05	-1.072082911373294e-06	0.000000000000000e+00
258	5	-1.740805856415871e-05	4.347024716676464e-05	-1.127764341816750e-06	0.000000000000000e+00
258	6	-1.747839257444414e-05	4.351016235448647e-05	-1.189056806851640e-06	0.000000000000000e+00
258	7	-1.753458287458364e-05	4.354170805402745e-05	-1.227542521946455e-06	0.000000000000000e+00
258	8	-1.723631796905227e-05	4.340923175409704e-05	-8.911515185569906e-07	0.000000000000000e+00
258	9	-1.729034784086812e-05	4.343725443294009e-05	-9.374717348800885e-07	0.000000000000000e+00
258	10	-1.736420673380517e-05	4.347552469416407e-05	-9.884317158186985e-07	0.000000000000000e+00
258	11	-1.742339479537058e-05	4.350584563752305e-05	-1.020499824971844e-06	0.000000000000000e+00
258	12	-1.713674354779939e-05	4.337967586491791e-05	-7.432502691870044e-07	0.000000000000000e+00
258	13	-1.719346424041739e-05	4.340721852673444e-05	-7.818462078178180e-07	0.000000000000000e+00
258	14	-1.727115075386496e-05	4.344493299990127e-05	-8.242691082732817e-07	0.000000000000000e+00
258	15	-1.733351533526564e-05	4.347491488421825e-05	-8.509567641003741e-07	0.000000000000000e+00
259	0	-1.764549939965216e-05	4.358364672008521e-05	-1.395625521919577e-06	0.000000000000000e+00
259	1	-1.770222965826791e-05	4.361756899300546e-05	-1.425957788398750e-06	0.000000000000000e+00
259	2	-1.777728524074584e-05	4.366211017390775e-05	-1.453306535103601e-06	0.000000000000000e+00
259	3	-1.783560731501733e-05	4.369612029595855e-05	-1.465128846955769e-06	0.000000000000000e+00
259	4	-1.756529481211357e-05	4.355876095933297e-05	-1.245099915285215e-06	0.000000000000000e+00
259	5	-1.762362674072542e-05	4.359107616318570e-05	-1.272471240366291e-06	0.000000000000000e+00
259	6	-1.770095608907299e-05	4.363360035300321e-05	-1.297327406561889e-06	0.000000000000000e+00
259	7	-1.776116193785640e-05	4.366624166550013e-05	-1.308149829223842e-06	0.000000000000000e+00
259	8	-1.745580184293447e-05	4.352225714299865e-05	-1.035182539363350e-06	0.000000000000000e+00
259	9	-1.751736614440094e-05	4.355340403670171e-05	-1.058094730939079e-06	0.000000000000000e+00
259	10	-1.759898670171596e-05	4.359454054372538e-05	-1.078876729873387e-06	0.000000000000000e+00
259	11	-1.766253815074560e-05	4.362628372813908e-05	-1.087846889015777e-06	0.000000000000000e+00
259	12	-1.736769484745127e-05	4.349118638339832e-05	-8.631752032363775e-07	0.000000000000000e+00
259	13	-1.743262048069776e-05	4.352214944929084e-05	-8.821584471719285e-07	0.000000000000000e+00
259	14	-1.751867232159935e-05	4.356317577527709e-05	-8.992071992834084e-07	0.000000000000000e+00
259	15	-1.758565513164388e-05	4.359491103312676e-05	-9.064222322331842e-07	0.000000000000000e+00
260	0	-1.786691823186477e-05	4.371409462210311e-05	-1.468278488132145e-06	0.000000000000000e+00
260	1	-1.792518840397311e-05	4.374741268545015e-05	-1.468695898062916e-06	0.000000000000000e+00
260	2	-1.800007445509577e-05	4.378989314087857e-05	-1.458668807540744e-06	0.000000000000000e+00
260	3	-1.805659674209475e-05	4.382152989030983e-05	-1.443000875291273e-06	0.000000000000000e+00
260	4	-1.779352710013108e-05	4.368358412720815e-05	-1.311045217404382e-06	0.000000000000000e+00
260	5	-1.785387673669086e-05	4.371590921550445e-05	-1.311456401309988e-06	0.000000000000000e+00
