要素番号	頂点番号	xx	yy	xy	zz
138	0	-1.792836314093718e-05	4.176114339991391e-05	-5.192704540731969e-06	0.000000000000000e+00
138	1	-1.902833855822767e-05	4.320120949906685e-05	-6.264721488868961e-06	0.000000000000000e+00
138	2	-1.790181615212075e-05	4.224304400277391e-05	-4.157838717906055e-06	0.000000000000000e+00
138	3	-1.863619575988791e-05	4.320664906071993e-05	-4.967655571368092e-06	0.000000000000000e+00
139	0	-1.902833855822768e-05	4.320120949906674e-05	-6.264721488868945e-06	0.000000000000000e+00
139	1	-1.986881557985192e-05	4.449939200018110e-05	-5.956118387475024e-06	0.000000000000000e+00
139	2	-1.863619575988792e-05	4.320664906071991e-05	-4.967655571368144e-06	0.000000000000000e+00
139	3	-1.936029585603770e-05	4.411514112200739e-05	-5.039340914655669e-06	0.000000000000000e+00
140	0	-1.986881557985192e-05	4.449939200018110e-05	-5.956118387474997e-06	0.000000000000000e+00
140	1	-2.046591205259684e-05	4.537860177639996e-05	-4.959567768383714e-06	0.000000000000000e+00
140	2	-1.936029585603769e-05	4.411514112200739e-05	-5.039340914655669e-06	0.000000000000000e+00
140	3	-1.986588018950359e-05	4.486286137688648e-05	-4.491934772701616e-06	0.000000000000000e+00
141	0	-2.046591205259684e-05	4.537860177639996e-05	-4.959567768383714e-06	0.000000000000000e+00
141	1	-2.069776700144020e-05	4.587726704759888e-05	-3.671350682916827e-06	0.000000000000000e+00
141	2	-1.986588018950359e-05	4.486286137688648e-05	-4.491934772701616e-06	0.000000000000000e+00
141	3	-2.016327097816083e-05	4.532698894624267e-05	-3.658048022891745e-06	0.000000000000000e+00
142	0	-2.069776700144019e-05	4.587726704759890e-05	-3.671350682916780e-06	0.000000000000000e+00
142	1	-2.069565823305238e-05	4.603112568592706e-05	-2.472714271446164e-06	0.000000000000000e+00
142	2	-2.016327097816083e-05	4.532698894624268e-05	-3.658048022891709e-06	0.000000000000000e+00
142	3	-2.025313242546838e-05	4.555662967229530e-05	-2.724888426553263e-06	0.000000000000000e+00
143	0	-2.069565823305238e-05	4.603112568592706e-05	-2.472714271446169e-06	0.000000000000000e+00
143	1	-2.052913127659251e-05	4.597143720923652e-05	-1.458168318260310e-06	0.000000000000000e+00
143	2	-2.025313242546839e-05	4.555662967229530e-05	-2.724888426553203e-06	0.000000000000000e+00
143	3	-2.020598626080652e-05	4.558752416246767e-05	-1.870381093845373e-06	0.000000000000000e+00
144	0	-2.052913127659251e-05	4.597143720923652e-05	-1.458168318260310e-06	0.000000000000000e+00
144	1	-2.029389797466406e-05	4.577558946490499e-05	-6.910889507033982e-07	0.000000000000000e+00
144	2	-2.020598626080652e-05	4.558752416246767e-05	-1.870381093845373e-06	0.000000000000000e+00
