要素番号	ガウス点番号	xx	yy	xy	zz
450	15	-2.609817143631575e-05	4.461222464891953e-05	-3.697277781901849e-05	0.000000000000000e+00
451	0	-2.748364988502137e-05	5.000006170479084e-05	-3.025195672660083e-05	0.000000000000000e+00
451	1	-2.760429542582095e-05	5.013085316672554e-05	-2.972135505288868e-05	0.000000000000000e+00
451	2	-2.774070695000876e-05	5.026115213251645e-05	-2.900653784176272e-05	0.000000000000000e+00
451	3	-2.783298168289784e-05	5.033318705463773e-05	-2.843358069307151e-05	0.000000000000000e+00
451	4	-2.711461241851369e-05	4.844201693103908e-05	-3.252996103084812e-05	0.000000000000000e+00
451	5	-2.722923011413897e-05	4.857472603157568e-05	-3.206286347869953e-05	0.000000000000000e+00
451	6	-2.735818741368185e-05	4.873077523102795e-05	-3.146213759436665e-05	0.000000000000000e+00
451	7	-2.744450038869069e-05	4.886006985996227e-05	-3.099384483712432e-05	0.000000000000000e+00
451	8	-2.661365533432321e-05	4.633881803549040e-05	-3.506328263296023e-05	0.000000000000000e+00
451	9	-2.672618140564282e-05	4.653650600534329e-05	-3.471181736749172e-05	0.000000000000000e+00
451	10	-2.685060624324781e-05	4.676352802011835e-05	-3.426231426004329e-05	0.000000000000000e+00
451	11	-2.693155930174444e-05	4.692894961710643e-05	-3.390383184555494e-05	0.000000000000000e+00
451	12	-2.616604550551295e-05	4.474446002562808e-05	-3.680748456403941e-05	0.000000000000000e+00
451	13	-2.628081992414876e-05	4.496397627964013e-05	-3.650724099276323e-05	0.000000000000000e+00
451	14	-2.640781982025628e-05	4.520503290637404e-05	-3.612099876493306e-05	0.000000000000000e+00
451	15	-2.648957816873428e-05	4.537141576399503e-05	-3.581161625840218e-05	0.000000000000000e+00
452	0	-2.787873508002095e-05	5.037716768623590e-05	-2.812342907067747e-05	0.000000000000000e+00
452	1	-2.795683175541165e-05	5.045714581319239e-05	-2.755529548387701e-05	0.000000000000000e+00
452	2	-2.804516505518538e-05	5.057118732168413e-05	-2.682635453296259e-05	0.000000000000000e+00
452	3	-2.810439476748147e-05	5.068528644448275e-05	-2.625856397631777e-05	0.000000000000000e+00
452	4	-2.748694733872165e-05	4.893544325689606e-05	-3.073644619366115e-05	0.000000000000000e+00
452	5	-2.756003261277678e-05	4.906426400621706e-05	-3.025543211741126e-05	0.000000000000000e+00
452	6	-2.764384131001176e-05	4.922011583576910e-05	-2.961590346457122e-05	0.000000000000000e+00
452	7	-2.770057751583151e-05	4.934747283286095e-05	-2.909733841290684e-05	0.000000000000000e+00
452	8	-2.697048050732916e-05	4.701693070974453e-05	-3.370296598252442e-05	0.000000000000000e+00
452	9	-2.703791944145690e-05	4.715811396280623e-05	-3.332447638398823e-05	0.000000000000000e+00
452	10	-2.711629951856605e-05	4.730730940884106e-05	-3.281234123992189e-05	0.000000000000000e+00
452	11	-2.716995467400419e-05	4.741127484366679e-05	-3.238712626108287e-05	0.000000000000000e+00
452	12	-2.652832440072168e-05	4.545685516180840e-05	-3.563811298424868e-05	0.000000000000000e+00
452	13	-2.659533750003292e-05	4.558880842274605e-05	-3.531435129593824e-05	0.000000000000000e+00
452	14	-2.667318914320248e-05	4.571804417073268e-05	-3.488220612478340e-05	0.000000000000000e+00
452	15	-2.672642876285180e-05	4.580122086167844e-05	-3.452659902805648e-05	0.000000000000000e+00
453	0	-2.813356502414463e-05	5.075859379693326e-05	-2.594960977777913e-05	0.000000000000000e+00
453	1	-2.818522946982897e-05	5.088040396532607e-05	-2.539448290067136e-05	0.000000000000000e+00
453	2	-2.824796007148324e-05	5.102240812892887e-05	-2.471103220511354e-05	0.000000000000000e+00
453	3	-2.829353150356042e-05	5.113954025951693e-05	-2.420336240852950e-05	0.000000000000000e+00
453	4	-2.772863832295649e-05	4.942091503827166e-05	-2.880724535585930e-05	0.000000000000000e+00
453	5	-2.777915815888660e-05	4.953506189330165e-05	-2.826791588762636e-05	0.000000000000000e+00
453	6	-2.784210722893822e-05	4.965278854332914e-05	-2.756722200644449e-05	0.000000000000000e+00
453	7	-2.788892072765112e-05	4.974047623816526e-05	-2.701896500221521e-05	0.000000000000000e+00
453	8	-2.719665777564673e-05	4.746609352455270e-05	-3.214489258674164e-05	0.000000000000000e+00
453	9	-2.724543536420472e-05	4.754339628428194e-05	-3.168219910289345e-05	0.000000000000000e+00
453	10	-2.730779771200498e-05	4.761036423872730e-05	-3.105411482878318e-05	0.000000000000000e+00
453	11	-2.735548230588409e-05	4.765619699936499e-05	-3.054100710201406e-05	0.000000000000000e+00
453	12	-2.675288882471404e-05	4.584352945260603e-05	-3.432456449159399e-05	0.000000000000000e+00
453	13	-2.680108472606012e-05	4.590060545304330e-05	-3.393714761012647e-05	0.000000000000000e+00
453	14	-2.686275652745619e-05	4.594718468309930e-05	-3.340455955993511e-05	0.000000000000000e+00
453	15	-2.691026433925963e-05	4.598057725061724e-05	-3.296158017602904e-05	0.000000000000000e+00
454	0	-2.831738993103601e-05	5.120893562523181e-05	-2.393612784845902e-05	0.000000000000000e+00
454	1	-2.836434077860839e-05	5.132185755959958e-05	-2.347329433660675e-05	0.000000000000000e+00
454	2	-2.843174830831987e-05	5.145144906726617e-05	-2.293862657503945e-05	0.000000000000000e+00
454	3	-2.848935626919924e-05	5.155868060222448e-05	-2.256862418692484e-05	0.000000000000000e+00
454	4	-2.791371388784670e-05	4.979052844867590e-05	-2.672062063120182e-05	0.000000000000000e+00
454	5	-2.796227710056695e-05	4.986316877259882e-05	-2.617744423695053e-05	0.000000000000000e+00
454	6	-2.803182706232326e-05	4.993315149073561e-05	-2.549529168977094e-05	0.000000000000000e+00
454	7	-2.809150935397843e-05	4.998946060676613e-05	-2.498084863888057e-05	0.000000000000000e+00
454	8	-2.738113448178285e-05	4.768285477048100e-05	-3.025390042716469e-05	0.000000000000000e+00
454	9	-2.743063642525606e-05	4.771286386804350e-05	-2.971112186719349e-05	0.000000000000000e+00
454	10	-2.749990650341336e-05	4.772930275636944e-05	-2.898785546169660e-05	0.000000000000000e+00
454	11	-2.755831803586881e-05	4.774516421742910e-05	-2.841035792679874e-05	0.000000000000000e+00
454	12	-2.693599280607531e-05	4.600146011554567e-05	-3.271024665728596e-05	0.000000000000000e+00
454	13	-2.698523328033997e-05	4.602384114690699e-05	-3.222697242700239e-05	0.000000000000000e+00
454	14	-2.705290788598579e-05	4.603518566654959e-05	-3.156447941460342e-05	0.000000000000000e+00
454	15	-2.710885949753167e-05	4.604923343495747e-05	-3.101975727382653e-05	0.000000000000000e+00
455	0	-2.852286359545475e-05	5.162329396866867e-05	-2.237875268688497e-05	0.000000000000000e+00
455	1	-2.859695587991307e-05	5.173845409982296e-05	-2.199462803657575e-05	0.000000000000000e+00
455	2	-2.871881561229916e-05	5.189068095852930e-05	-2.142912131380638e-05	0.000000000000000e+00
455	3	-2.883345819343065e-05	5.202561695912333e-05	-2.094334201656036e-05	0.000000000000000e+00
455	4	-2.812618783565561e-05	5.002517516110907e-05	-2.470757804989020e-05	0.000000000000000e+00
455	5	-2.819951954928362e-05	5.008400011534469e-05	-2.421825782432032e-05	0.000000000000000e+00
455	6	-2.831303947215054e-05	5.016137012444606e-05	-2.361952306261844e-05	0.000000000000000e+00
455	7	-2.841493352838746e-05	5.024075266725721e-05	-2.317870463376681e-05	0.000000000000000e+00
455	8	-2.759199582159770e-05	4.775925422086556e-05	-2.809236836417064e-05	0.000000000000000e+00
455	9	-2.766342180019559e-05	4.777692893109956e-05	-2.749720831028775e-05	0.000000000000000e+00
455	10	-2.777520618464497e-05	4.779817809545704e-05	-2.671666418691119e-05	0.000000000000000e+00
455	11	-2.787683041608322e-05	4.783158173330984e-05	-2.610429366743243e-05	0.000000000000000e+00
455	12	-2.714067511592897e-05	4.606259946573166e-05	-3.071400975934334e-05	0.000000000000000e+00
455	13	-2.720707523096191e-05	4.607803168642309e-05	-3.012995410281202e-05	0.000000000000000e+00
455	14	-2.730986084878240e-05	4.609266695644544e-05	-2.933837206669592e-05	0.000000000000000e+00
455	15	-2.740331285001616e-05	4.611662826289850e-05	-2.869630745291403e-05	0.000000000000000e+00
456	0	-2.890280359110712e-05	5.210789364934661e-05	-2.066614760286564e-05	0.000000000000000e+00
456	1	-2.905241589146134e-05	5.227360688150872e-05	-2.012650402289989e-05	0.000000000000000e+00
456	2	-2.928961564232793e-05	5.252159033314246e-05	-1.938306522370022e-05	0.000000000000000e+00
456	3	-2.950634565224350e-05	5.274628154842737e-05	-1.877984706613101e-05	0.000000000000000e+00
456	4	-2.847662898171485e-05	5.029465101303928e-05	-2.292862600317099e-05	0.000000000000000e+00
456	5	-2.861094864273996e-05	5.040462707727048e-05	-2.241907269161259e-05	0.000000000000000e+00
456	6	-2.882654376859971e-05	5.057388380968451e-05	-2.167340965983678e-05	0.000000000000000e+00
456	7	-2.902593876569217e-05	5.073358555475876e-05	-2.103578464078502e-05	0.000000000000000e+00
456	8	-2.793709604567773e-05	4.785930467962561e-05	-2.577081854579001e-05	0.000000000000000e+00
456	9	-2.806171295231076e-05	4.791006229176932e-05	-2.514626079395676e-05	0.000000000000000e+00
456	10	-2.824955989856570e-05	4.798377401248043e-05	-2.432241877155007e-05	0.000000000000000e+00
456	11	-2.841540828318905e-05	4.805936666156057e-05	-2.367056211131522e-05	0.000000000000000e+00
456	12	-2.745891341401221e-05	4.613713271050033e-05	-2.833905154076400e-05	0.000000000000000e+00
456	13	-2.757369775883976e-05	4.616645452441002e-05	-2.765578609150084e-05	0.000000000000000e+00
456	14	-2.774608400043297e-05	4.619675436803216e-05	-2.672976495518754e-05	0.000000000000000e+00
456	15	-2.789770594544996e-05	4.622799166044742e-05	-2.598166452763764e-05	0.000000000000000e+00
457	0	-2.963524147181245e-05	5.288058189608899e-05	-1.844654298965506e-05	0.000000000000000e+00
457	1	-2.990724055878562e-05	5.315478631142905e-05	-1.781178538980109e-05	0.000000000000000e+00
457	2	-3.032346489669134e-05	5.356375891957903e-05	-1.696960983007444e-05	0.000000000000000e+00
457	3	-3.069067159831933e-05	5.392420878485207e-05	-1.631544014643664e-05	0.000000000000000e+00
457	4	-2.914555184664372e-05	5.083177664384148e-05	-2.067223172613115e-05	0.000000000000000e+00
457	5	-2.940181458076570e-05	5.103888871610711e-05	-1.995709686764415e-05	0.000000000000000e+00
457	6	-2.980163751850218e-05	5.136329676417418e-05	-1.896383988399592e-05	0.000000000000000e+00
457	7	-3.015988427802743e-05	5.166209189988058e-05	-1.815878312882458e-05	0.000000000000000e+00
457	8	-2.851265011352987e-05	4.811011654071389e-05	-2.331253791283822e-05	0.000000000000000e+00
457	9	-2.872145618673127e-05	4.822829594005795e-05	-2.261016975113093e-05	0.000000000000000e+00
457	10	-2.905837250241081e-05	4.843746013015991e-05	-2.157480873200752e-05	0.000000000000000e+00
457	11	-2.936945812207326e-05	4.864781715939126e-05	-2.068704449471019e-05	0.000000000000000e+00
457	12	-2.798632772170447e-05	4.625127748324211e-05	-2.556647718660621e-05	0.000000000000000e+00
457	13	-2.817357329329885e-05	4.630805096524012e-05	-2.475931049469276e-05	0.000000000000000e+00
457	14	-2.846488605963634e-05	4.641697840881977e-05	-2.363536691528162e-05	0.000000000000000e+00
457	15	-2.872855989054871e-05	4.653564489754368e-05	-2.270448628586638e-05	0.000000000000000e+00
458	0	-3.090417809779898e-05	5.413530154687662e-05	-1.596475812974199e-05	0.000000000000000e+00
458	1	-3.134595819370511e-05	5.457434666341852e-05	-1.530758258742034e-05	0.000000000000000e+00
458	2	-3.200550296829074e-05	5.523569047304152e-05	-1.445414681736184e-05	0.000000000000000e+00
458	3	-3.257552544788656e-05	5.581263578270209e-05	-1.380499254438038e-05	0.000000000000000e+00
458	4	-3.037001437778565e-05	5.184142849428147e-05	-1.771561166899034e-05	0.000000000000000e+00
458	5	-3.080812577673430e-05	5.221822344003199e-05	-1.686669661368302e-05	0.000000000000000e+00
458	6	-3.146884176741577e-05	5.279234242913089e-05	-1.572756094104709e-05	0.000000000000000e+00
458	7	-3.204500415296048e-05	5.329803567752486e-05	-1.483150436902136e-05	0.000000000000000e+00
458	8	-2.955518161704278e-05	4.877941034724157e-05	-2.018134135506971e-05	0.000000000000000e+00
458	9	-2.994843123995420e-05	4.905885073567097e-05	-1.918329678333339e-05	0.000000000000000e+00
458	10	-3.055474662868545e-05	4.948987168168892e-05	-1.778575893908056e-05	0.000000000000000e+00
458	11	-3.109462229661524e-05	4.987401496218791e-05	-1.664076658949150e-05	0.000000000000000e+00
458	12	-2.888487865226793e-05	4.661323807745589e-05	-2.218003048048816e-05	0.000000000000000e+00
458	13	-2.921466421395901e-05	4.678088643563293e-05	-2.114232876927711e-05	0.000000000000000e+00
458	14	-2.973405483376726e-05	4.704690619167139e-05	-1.963348350350638e-05	0.000000000000000e+00
458	15	-3.020828350380706e-05	4.729047792743584e-05	-1.834907849950132e-05	0.000000000000000e+00
459	0	7.952115428720250e-06	2.201400208803731e-06	-2.461624798463810e-05	0.000000000000000e+00
459	1	4.946069555269244e-06	5.609244650082534e-06	-2.684124009918715e-05	0.000000000000000e+00
459	2	1.391616460979654e-06	9.677785198503028e-06	-2.939904342500879e-05	0.000000000000000e+00
459	3	-1.056896889489563e-06	1.250208180099052e-05	-3.111483440577572e-05	0.000000000000000e+00
459	4	6.395834293223336e-06	1.419004107036093e-06	-1.887244516355676e-05	0.000000000000000e+00
459	5	3.584864495414899e-06	4.699597836995549e-06	-2.170276603008735e-05	0.000000000000000e+00
