要素番号	頂点番号	disp_x	disp_y
76	1	-1.100278104658159e-04	1.064974695745648e-04
76	2	-9.589530895066876e-05	1.349176695447977e-04
76	3	-1.079528717751314e-04	1.336202176303599e-04
77	0	-1.100278104658159e-04	1.064974695745648e-04
77	1	-1.215971425623680e-04	1.057732075661782e-04
77	2	-1.079528717751314e-04	1.336202176303599e-04
77	3	-1.197445593746200e-04	1.325945914778702e-04
78	0	-1.215971425623680e-04	1.057732075661782e-04
78	1	-1.330083600635096e-04	1.051558315823386e-04
78	2	-1.197445593746200e-04	1.325945914778702e-04
78	3	-1.313325354111937e-04	1.317333818055114e-04
79	0	-1.330083600635096e-04	1.051558315823386e-04
79	1	-1.443067560103728e-04	1.045897062962663e-04
79	2	-1.313325354111937e-04	1.317333818055114e-04
79	3	-1.427674341972063e-04	1.309558316783824e-04
80	0	-1.443067560103728e-04	1.045897062962663e-04
80	1	-1.555207039055620e-04	1.040273097980358e-04
80	2	-1.427674341972063e-04	1.309558316783824e-04
80	3	-1.540818557832256e-04	1.302066227773825e-04
81	0	-1.555207039055620e-04	1.040273097980358e-04
81	1	-1.666648296915798e-04	1.034310771379159e-04
81	2	-1.540818557832256e-04	1.302066227773825e-04
81	3	-1.652986206572422e-04	1.294360991715817e-04
82	0	-1.666648296915798e-04	1.034310771379159e-04
82	1	-1.777447589011312e-04	1.027589320823318e-04
82	2	-1.652986206572422e-04	1.294360991715817e-04
82	3	-1.764313124635027e-04	1.285954948092049e-04
83	0	-1.777447589011312e-04	1.027589320823318e-04
83	1	-1.887587858955445e-04	1.019587373685850e-04
83	2	-1.764313124635027e-04	1.285954948092049e-04
83	3	-1.874883269671804e-04	1.276267675409727e-04
84	0	-1.887587858955445e-04	1.019587373685850e-04
84	1	-1.996993541157634e-04	1.009578752649867e-04
84	2	-1.874883269671804e-04	1.276267675409727e-04
84	3	-1.984753855870942e-04	1.264544213517207e-04
85	0	0.000000000000000e+00	1.725669492796173e-04
85	1	-8.164828767719598e-06	1.697409159144141e-04
85	2	0.000000000000000e+00	1.925921967632292e-04
85	3	-8.926826341743991e-06	1.908931410511397e-04
86	0	-8.164828767719596e-06	1.697409159144141e-04
86	1	-1.853577014213246e-05	1.624702002493479e-04
86	2	-8.926826341743991e-06	1.908931410511397e-04
86	3	-1.877444465239114e-05	1.865023901870292e-04
87	0	-1.853577014213246e-05	1.624702002493479e-04
87	1	-3.041305209843470e-05	1.545125707780456e-04
87	2	-1.877444465239114e-05	1.865023901870292e-04
87	3	-3.037766858290454e-05	1.808276898145517e-04
88	0	-3.041305209843470e-05	1.545125707780457e-04
88	1	-4.378182099560505e-05	1.477201137059693e-04
88	2	-3.037766858290454e-05	1.808276898145517e-04
88	3	-4.282252125208472e-05	1.753785163056798e-04
89	0	-4.378182099560505e-05	1.477201137059693e-04
89	1	-5.735977600520784e-05	1.426828248353708e-04
