要素番号	頂点番号	xx	yy	xy	zz
308	2	2.513920230791278e+00	2.265665895799033e+01	-2.357027486506722e+00	7.551173756634483e+00
308	3	2.942088767711544e+00	2.078821696948190e+01	-1.583141107603218e+00	7.119091721158033e+00
309	0	2.996772630174326e+00	2.137100939805138e+01	-8.001718683472335e-01	7.310334608467713e+00
309	1	3.323823097098366e+00	1.969237106144195e+01	-5.043461698184447e-01	6.904858247562094e+00
309	2	2.942088767711475e+00	2.078821696948187e+01	-1.583141107603208e+00	7.119091721158002e+00
309	3	3.134638177896581e+00	1.927534315044562e+01	-1.013314409214681e+00	6.722994398502660e+00
310	0	3.323823097098370e+00	1.969237106144195e+01	-5.043461698184490e-01	6.904858247562096e+00
310	1	3.517835587178144e+00	1.835008276416254e+01	-2.850687816514822e-01	6.560375505402205e+00
310	2	3.134638177896599e+00	1.927534315044563e+01	-1.013314409214690e+00	6.722994398502668e+00
310	3	3.266211719684748e+00	1.806700411816630e+01	-5.902322997017871e-01	6.399964751355315e+00
311	0	3.517835587178144e+00	1.835008276416254e+01	-2.850687816514822e-01	6.560375505402205e+00
311	1	3.603187454987245e+00	1.725603916448652e+01	-1.227699366376814e-01	6.257767985842130e+00
311	2	3.266211719684748e+00	1.806700411816630e+01	-5.902322997017871e-01	6.399964751355315e+00
311	3	3.297472922919823e+00	1.706911335836050e+01	-2.767442606624352e-01	6.109975884384098e+00
312	0	3.603187454987328e+00	1.725603916448657e+01	-1.227699366376943e-01	6.257767985842168e+00
312	1	3.619459017931729e+00	1.635891122449775e+01	-7.662516003706173e-04	5.993511072728843e+00
312	2	3.297472922919855e+00	1.706911335836050e+01	-2.767442606624424e-01	6.109975884384105e+00
312	3	3.285197434842047e+00	1.624141293705806e+01	-4.232863106351478e-02	5.857983111570032e+00
313	0	3.619459017931749e+00	1.635891122449776e+01	-7.662516003749123e-04	5.993511072728851e+00
313	1	3.586112337644968e+00	1.561453770972483e+01	9.070442111004769e-02	5.760195014210939e+00
313	2	3.285197434842028e+00	1.624141293705805e+01	-4.232863106351424e-02	5.857983111570024e+00
313	3	3.236545323571670e+00	1.554574358850804e+01	1.320487191430215e-01	5.634686673623911e+00
314	0	3.586112337644968e+00	1.561453770972483e+01	9.070442111004769e-02	5.760195014210939e+00
314	1	3.521309337680595e+00	1.499237472023089e+01	1.608376297730268e-01	5.554105217373447e+00
314	2	3.236545323571670e+00	1.554574358850804e+01	1.320487191430215e-01	5.634686673623911e+00
314	3	3.163661004596424e+00	1.495664253318144e+01	2.624794718051306e-01	5.436091061333357e+00
315	0	3.521309337680595e+00	1.499237472023089e+01	1.608376297730268e-01	5.554105217373447e+00
315	1	3.436693746240104e+00	1.446820236141349e+01	2.149009603015138e-01	5.371468832296079e+00
315	2	3.163661004596424e+00	1.495664253318144e+01	2.624794718051306e-01	5.436091061333357e+00
315	3	3.078780880769205e+00	1.445685228921795e+01	3.603712878416688e-01	5.260689950996146e+00
316	0	3.436693746240104e+00	1.446820236141349e+01	2.149009603015138e-01	5.371468832296079e+00
316	1	3.335249307738603e+00	1.402191730081788e+01	2.582237395816349e-01	5.207149982566944e+00
316	2	3.078780880769205e+00	1.445685228921795e+01	3.603712878416688e-01	5.260689950996146e+00
316	3	2.981299340418015e+00	1.403009798157808e+01	4.350469592727926e-01	5.103419196598828e+00
317	0	3.335249307738603e+00	1.402191730081788e+01	2.582237395816349e-01	5.207149982566944e+00
317	1	3.232085218040071e+00	1.364402456610396e+01	2.915743501830455e-01	5.062832935243209e+00
317	2	2.981299340418015e+00	1.403009798157808e+01	4.350469592727926e-01	5.103419196598828e+00
317	3	2.895225978701787e+00	1.367116764643093e+01	4.928315686704587e-01	4.969918087539816e+00
318	0	3.232085218040061e+00	1.364402456610396e+01	2.915743501830614e-01	5.062832935243205e+00
318	1	3.102105278634598e+00	1.331118736758775e+01	3.170195486602351e-01	4.923987793866702e+00
318	2	2.895225978701992e+00	1.367116764643102e+01	4.928315686704495e-01	4.969918087539904e+00
318	3	2.773668078824040e+00	1.335689346753679e+01	5.389721130717001e-01	4.839168463908250e+00
319	0	3.102105278634604e+00	1.331118736758775e+01	3.170195486602351e-01	4.923987793866705e+00
319	1	3.003364550214037e+00	1.303796240881555e+01	3.285155461823246e-01	4.812398087708877e+00
319	2	2.773668078824031e+00	1.335689346753679e+01	5.389721130717001e-01	4.839168463908246e+00
319	3	2.712055061453056e+00	1.311870166451783e+01	5.710065762964247e-01	4.749227017791267e+00
320	0	3.003364550214037e+00	1.303796240881555e+01	3.285155461823246e-01	4.812398087708877e+00
320	1	2.885406243670691e+00	1.279264748474177e+01	3.159770246040121e-01	4.703416118523739e+00
320	2	2.712055061453056e+00	1.311870166451783e+01	5.710065762964247e-01	4.749227017791267e+00
320	3	2.585636586090048e+00	1.292588867942478e+01	5.912464590476406e-01	4.653457579654448e+00
321	0	2.885406243670691e+00	1.279264748474177e+01	3.159770246040121e-01	4.703416118523739e+00
321	1	2.782629639833125e+00	1.258861063758787e+01	2.583704745534517e-01	4.611372083226298e+00
321	2	2.585636586090048e+00	1.292588867942478e+01	5.912464590476406e-01	4.653457579654448e+00
321	3	2.465536876556800e+00	1.282340954735868e+01	5.936058575498177e-01	4.586683927174643e+00
322	0	2.782629639833125e+00	1.258861063758787e+01	2.583704745534517e-01	4.611372083226298e+00
322	1	2.668511591502645e+00	1.247329237866701e+01	1.324771466510969e-01	4.542541191050896e+00
322	2	2.465536876556800e+00	1.282340954735868e+01	5.936058575498177e-01	4.586683927174643e+00
322	3	2.321081364765842e+00	1.281739917490168e+01	5.667901231386420e-01	4.541544161900257e+00
323	0	8.562411837520951e-01	2.812790154981410e+01	-4.882077832960336e+00	8.695242820069856e+00
323	1	1.872541558305976e+00	2.504604334325405e+01	-3.417180930041175e+00	8.075575470468007e+00
323	2	1.839202866729094e+00	2.558553038401720e+01	-6.849488358058438e+00	8.227419975223890e+00
323	3	2.345198722086591e+00	2.318696860789919e+01	-4.832807360697134e+00	7.659650198995734e+00
324	0	1.872541558305963e+00	2.504604334325403e+01	-3.417180930041183e+00	8.075575470467999e+00
324	1	2.513920230791284e+00	2.265665895799033e+01	-2.357027486506728e+00	7.551173756634483e+00
324	2	2.345198722086591e+00	2.318696860789919e+01	-4.832807360697120e+00	7.659650198995734e+00
